count,cumulative proportion,cumulative unique words
193, 0.3068846391895816, 33889
195, 0.3079109247306393, 33894
196, 0.30832354414817226, 33896
197, 0.3091529933854579, 33900
198, 0.30956982320521054, 33902
199, 0.3106171607573669, 33907
200, 0.3112487210903255, 33910
201, 0.3118834392249489, 33913
202, 0.312308689849141, 33915
204, 0.31316761190196474, 33919
205, 0.3138149612432473, 33922
206, 0.3142486326718789, 33924
207, 0.31468440930162034, 33926
208, 0.31512229113247164, 33928
209, 0.3153422846484522, 33929
210, 0.31622646911459423, 33933
211, 0.317114863982956, 33937
212, 0.3173380153006014, 33938
213, 0.31845903489160293, 33943
214, 0.31868429141035814, 33944
215, 0.31936321876828866, 33947
216, 0.3207273890874793, 33953
217, 0.3209558034078993, 33954
218, 0.32141473724984926, 33956
219, 0.32210629581443895, 33959
221, 0.3228041699823582, 33962
223, 0.3242125495248559, 33968
224, 0.32444833204916046, 33969
225, 0.3249220022988794, 33971
226, 0.32539777774970824, 33973
227, 0.3261145987276163, 33976
228, 0.32707457043371335, 33980
230, 0.32780086481661574, 33983
231, 0.32804401554480483, 33984
232, 0.3287766255310368, 33987
233, 0.33024816110683036, 33993
236, 0.3304965748377941, 33994
237, 0.3307460411693128, 33995
238, 0.33224915476175426, 34001
239, 0.33250072629438276, 34002
240, 0.33300597456074965, 34004
241, 0.33325965129448804, 34005
242, 0.33376910996307463, 34007
243, 0.33402489189792284, 34008
244, 0.334281726433326, 34009
245, 0.33505538784120026, 34012
246, 0.3353143275777133, 34013
247, 0.33557431991478126, 34014
248, 0.33635745472764994, 34017
250, 0.33688375500511547, 34019
251, 0.3374121604836908, 34021
252, 0.33794267116337606, 34023
253, 0.3382089791037736, 34024
254, 0.33874370018567856, 34026
255, 0.3398173527517082, 34030
257, 0.3400878710943255, 34031
259, 0.341178365269234, 34035
260, 0.3417257175577981, 34037
263, 0.342002551503745, 34038
264, 0.34228043805024677, 34039
265, 0.3428383163443602, 34041
266, 0.34311830809197186, 34042
267, 0.34368039678830503, 34044
268, 0.34424459068574803, 34046
270, 0.3450971971352422, 34049
271, 0.3459529613864011, 34052
272, 0.347098190790166, 34056
273, 0.3479602706446545, 34059
275, 0.34853920094986657, 34061
279, 0.3488328765046923, 34062
280, 0.35001178912621506, 34066
281, 0.35030756988215067, 34067
283, 0.3512012277532871, 34070
285, 0.3521012012277531, 34073
286, 0.3524022449864634, 34074
287, 0.3527043413457286, 34075
288, 0.3533106392653689, 34077
289, 0.35361484082574396, 34078
290, 0.35422534914760395, 34080
291, 0.35453165590908886, 34081
292, 0.3554537339952084, 34084
293, 0.356070557920398, 34086
296, 0.35669369744891716, 34088
300, 0.35764103794835506, 34091
302, 0.3579589233159442, 34092
303, 0.35859679925223237, 34094
304, 0.3589167898209314, 34095
305, 0.3595588761594393, 34097
306, 0.3602030676990571, 34099
307, 0.3605262160694209, 34100
308, 0.3614988189821772, 34103
310, 0.3618251251542058, 34104
311, 0.36280720147195644, 34107
312, 0.36313561284509493, 34108
313, 0.36346507681878837, 34109
314, 0.3637955933930367, 34110
315, 0.36412716256783995, 34111
316, 0.36445978434319815, 34112
318, 0.36546396527260233, 34115
319, 0.3668070835806943, 34119
320, 0.3671439157582722, 34120
321, 0.36748180053640506, 34121
323, 0.3678217905156478, 34122
324, 0.36884491825504073, 34125
326, 0.3695312138168558, 34127
327, 0.3698754141983182, 34128
328, 0.37091117314437033, 34131
329, 0.37125747872694265, 34132
330, 0.3716048369100699, 34133
331, 0.37195324769375204, 34134
332, 0.3723027110779891, 34135
335, 0.37300795344979293, 34137
337, 0.37336267983680466, 34138
338, 0.3737184588243713, 34139
339, 0.37407529041249293, 34140
340, 0.3744331746011695, 34141
341, 0.3751510481796324, 34143
343, 0.3762341741506564, 34146
344, 0.37659626874155266, 34147
346, 0.37732466832556494, 34149
347, 0.37805517311068704, 34151
349, 0.3795246034853707, 34155
350, 0.37989301367959655, 34156
351, 0.38026247647437733, 34157
352, 0.38063299186971306, 34158
353, 0.3810045598656037, 34159
358, 0.38175822186293434, 34161
359, 0.3821361054621546, 34162
360, 0.38251504166192973, 34163
362, 0.38289608306281475, 34164
363, 0.3832781770642547, 34165
364, 0.3836613236662496, 34166
365, 0.38404552286879945, 34167
366, 0.3859717818843232, 34172
368, 0.3863591388885378, 34173
373, 0.3875369989095056, 34176
374, 0.388324344124594, 34178
376, 0.38911589974190214, 34180
380, 0.3903158643745235, 34183
383, 0.3907190103870621, 34184
386, 0.39112531420126545, 34185
387, 0.39153267061602376, 34186
390, 0.39235369904886996, 34188
391, 0.393176832682826, 34190
394, 0.3940062819201116, 34192
395, 0.3944220591393094, 34193
396, 0.39483888895906205, 34194
397, 0.39525677137936965, 34195
400, 0.3956778116013421, 34196
403, 0.39610200962497927, 34197
404, 0.3965272602491714, 34198
408, 0.39738618230199513, 34200
409, 0.3982472095559287, 34202
410, 0.3986787757834504, 34203
412, 0.399112447212082, 34204
413, 0.399981895270455, 34206
414, 0.40041767190019645, 34207
415, 0.4008545011304928, 34208
416, 0.4012923829613441, 34209
417, 0.40173131739275036, 34210
418, 0.40217130442471155, 34211
419, 0.40305338368974375, 34213
421, 0.4034965285233697, 34214
423, 0.40394177855810554, 34215
424, 0.4043880811933963, 34216
426, 0.4048364890297969, 34217
427, 0.40528594946675245, 34218
432, 0.40574067290648264, 34219
434, 0.4061975015473227, 34220
436, 0.40711536923122255, 34222
437, 0.40803534211623227, 34224
438, 0.40849638115929204, 34225
440, 0.4089595254034617, 34226
442, 0.4098900242940207, 34228
445, 0.410358431540965, 34229
446, 0.41082789138846426, 34230
448, 0.41129945643707333, 34231
450, 0.4117731266867923, 34232
456, 0.4122531125398408, 34233
457, 0.4127341509934443, 34234
460, 0.41321834724871254, 34235
462, 0.4141909501614688, 34237
466, 0.4146814620200666, 34238
467, 0.4151730264792194, 34239
468, 0.4156656435389271, 34240
476, 0.4161666814030743, 34241
480, 0.41667192966944117, 34242
482, 0.4181939900718714, 34245
485, 0.419725523879296, 34248
490, 0.4202412981512122, 34249
496, 0.4212854779017038, 34251
500, 0.4218117781791693, 34252
501, 0.42233913105718973, 34253
514, 0.42288016774242426, 34254
515, 0.42342225702821373, 34255
517, 0.4239664515151131, 34256
522, 0.4245159090047871, 34257
525, 0.42506852429612585, 34258
534, 0.425630612992459, 34259
542, 0.4262011224932316, 34260
